seq,frame,track_id,lost_duration,det_score,cost,gpr_sigma_px,det_iou,det_gt_id,prior_frame,prior_iou,prior_gt_id,displacement,disp_norm,correct,recovered_real
MOT17-04-FRCNN,24,139,3,0.40296435356140137,0.13667227093843926,3.2846577187496355,0.0,-1,21,0.0,-1,1.7,0.013,0,0
MOT17-04-FRCNN,29,140,1,0.4481935501098633,0.1432323655222134,2.2284917450536446,0.05,-1,28,0.046,-1,3.5,0.024,0,0
MOT17-04-FRCNN,42,142,3,0.4451131820678711,0.10296745540110008,1.7018970178378157,0.067,-1,39,0.103,-1,14.7,0.096,0,0
MOT17-04-FRCNN,43,142,1,0.46282529830932617,0.07359211991795844,0.5594478044948845,0.082,-1,42,0.077,-1,1.2,0.008,0,0
MOT17-04-FRCNN,48,141,1,0.5877571105957031,0.03479816341263342,0.35239720487553206,0.0,-1,47,0.0,-1,0.3,0.003,0,0
MOT17-04-FRCNN,54,141,1,0.48508214950561523,0.017009394883347295,0.314779778530119,0.0,-1,53,0.0,-1,0.7,0.008,0,0
MOT17-04-FRCNN,55,125,2,0.10941207408905029,0.0860924386484595,1.1045507897629845,0.0,-1,53,0.0,-1,1.8,0.013,0,0
MOT17-04-FRCNN,56,141,1,0.4748344421386719,0.020181794761897076,0.33894890677303874,0.0,-1,55,0.0,-1,0.2,0.003,0,0
MOT17-04-FRCNN,84,141,1,0.4506847858428955,0.043892642056420295,0.3538070942892223,0.0,-1,83,0.0,-1,0.9,0.01,0,0
MOT17-04-FRCNN,86,141,1,0.36100339889526367,0.0436849313387947,0.3720558694873409,0.0,-1,85,0.0,-1,0.5,0.006,0,0
MOT17-04-FRCNN,88,141,1,0.2354130744934082,0.014135326521306113,0.3761111508904007,0.0,-1,87,0.0,-1,0.3,0.003,0,0
MOT17-04-FRCNN,89,141,1,0.42216718196868896,0.039255753886282774,0.37684520662017773,0.0,-1,88,0.0,-1,1.1,0.012,0,0
MOT17-04-FRCNN,93,125,2,0.34812164306640625,0.08956525498869916,1.2094932119280286,0.0,-1,91,0.0,-1,2.3,0.016,0,0
MOT17-04-FRCNN,116,141,1,0.4013538360595703,0.07480328509623135,0.33861069860853354,0.914,139,115,0.864,139,1.7,0.019,1,1
MOT17-04-FRCNN,118,141,1,0.49976110458374023,0.07303084819092609,0.3495509788383684,0.931,139,117,0.88,139,1.7,0.018,1,1
MOT17-04-FRCNN,126,115,2,0.1543647050857544,0.0656965041315225,2.130366920490039,0.077,-1,124,0.074,-1,3.6,0.022,0,0
MOT17-04-FRCNN,137,118,1,0.4414236545562744,0.08193117690884943,1.4017245131322944,0.201,-1,136,0.185,-1,2.1,0.014,0,0
MOT17-04-FRCNN,141,118,2,0.37554359436035156,0.05497578380989521,1.6273456295726394,0.236,-1,139,0.225,-1,2.1,0.014,0,0
MOT17-04-FRCNN,146,115,2,0.29534435272216797,0.09507143690852549,2.1996515286492397,0.203,-1,144,0.179,-1,2.6,0.015,0,0
MOT17-04-FRCNN,151,115,2,0.13283884525299072,0.047054604182791615,2.1532593901784325,0.223,-1,149,0.213,-1,1.8,0.011,0,0
MOT17-04-FRCNN,154,115,3,0.16471266746520996,0.04868095456406141,2.9010640327960866,0.208,-1,151,0.225,-1,2.8,0.016,0,0
MOT17-04-FRCNN,175,116,2,0.35262346267700195,0.11467306939796906,1.7552644488184121,0.717,97,173,0.622,97,2.5,0.02,1,1
MOT17-04-FRCNN,188,146,4,0.3711364269256592,0.1232890240120813,1.165723975119039,0.003,-1,184,0.0,-1,1.8,0.014,0,0
MOT17-04-FRCNN,190,150,1,0.38341736793518066,0.015011537043982282,0.313923514057932,0.0,-1,189,0.0,-1,0.3,0.003,0,0
MOT17-04-FRCNN,191,146,3,0.18947505950927734,0.07730363800287665,1.1205158993714157,0.038,-1,188,0.003,-1,3.5,0.025,0,0
MOT17-04-FRCNN,200,114,1,0.34007835388183594,0.07643236441838952,1.5283783053405016,0.156,-1,199,0.156,-1,1.4,0.01,0,0
MOT17-04-FRCNN,206,150,1,0.19098567962646484,0.04978188408907769,0.28925437380767727,0.0,-1,205,0.0,-1,0.3,0.003,0,0
MOT17-04-FRCNN,234,150,1,0.2771573066711426,0.018414949511371348,0.27968939584048397,0.003,-1,233,0.003,-1,0.2,0.002,0,0
MOT17-04-FRCNN,241,150,1,0.42178118228912354,0.03982438086516071,0.27698111570634837,0.0,-1,240,0.001,-1,0.9,0.009,0,0
MOT17-04-FRCNN,244,150,1,0.30158042907714844,0.03028570061281277,0.2861864768171959,0.0,-1,243,0.0,-1,0.6,0.006,0,0
MOT17-04-FRCNN,245,150,1,0.5572090148925781,0.030082811015489708,0.2845563840271787,0.0,-1,244,0.0,-1,1.0,0.01,0,0
MOT17-04-FRCNN,247,150,1,0.4156990051269531,0.023008735118744128,0.28928721582105515,0.0,-1,246,0.0,-1,0.6,0.006,0,0
MOT17-04-FRCNN,249,150,1,0.3893471956253052,0.025512394574694786,0.2924072269151683,0.0,-1,248,0.0,-1,0.7,0.007,0,0
MOT17-04-FRCNN,250,150,1,0.21358728408813477,0.013577678331659015,0.29644010204070176,0.0,-1,249,0.0,-1,0.3,0.003,0,0
MOT17-04-FRCNN,251,150,1,0.3152148723602295,0.02151316275561188,0.296924983301733,0.0,-1,250,0.0,-1,0.6,0.006,0,0
MOT17-04-FRCNN,252,150,1,0.5017251968383789,0.02805868312427462,0.2984613310841171,0.0,-1,251,0.0,-1,0.3,0.004,0,0
MOT17-04-FRCNN,258,148,4,0.1267024278640747,0.11586597960924294,2.701416129764778,0.141,-1,254,0.124,-1,3.7,0.023,0,0
MOT17-04-FRCNN,258,150,1,0.39418625831604004,0.03515371969498027,0.2918430892336441,0.0,-1,257,0.0,-1,0.5,0.005,0,0
MOT17-04-FRCNN,266,150,1,0.44107580184936523,0.02232465501706349,0.29635326889994557,0.0,-1,265,0.0,-1,0.4,0.004,0,0
MOT17-04-FRCNN,271,150,1,0.4588381052017212,0.023155735255633192,0.2911000337186863,0.854,140,270,0.0,-1,0.8,0.009,0,1
MOT17-04-FRCNN,273,150,1,0.5812883377075195,0.026541603067454567,0.2899381187934144,0.84,140,272,0.848,140,0.5,0.006,1,1
MOT17-04-FRCNN,281,112,2,0.4299020767211914,0.146749769394515,1.362640957025236,0.012,-1,279,0.002,-1,5.8,0.039,0,0
MOT17-04-FRCNN,282,150,1,0.48291778564453125,0.0356461504770077,0.3066471800065095,0.864,140,281,0.897,140,0.2,0.002,1,1
MOT17-04-FRCNN,288,112,2,0.12274771928787231,0.14697445102729312,1.4590729136467395,0.042,-1,286,0.035,-1,3.3,0.022,0,0
MOT17-04-FRCNN,291,112,3,0.1002347469329834,0.11579879302974516,2.0570675168493553,0.069,-1,288,0.044,-1,1.9,0.013,0,0
MOT17-04-FRCNN,295,112,4,0.20970821380615234,0.12773971178405386,2.4297127335065523,0.09,-1,291,0.069,-1,4.8,0.031,0,0
MOT17-04-FRCNN,299,112,3,0.20344805717468262,0.13481108382443008,2.001938304245337,0.12,-1,296,0.094,-1,5.2,0.034,0,0
MOT17-04-FRCNN,301,151,2,0.2132248878479004,0.09108204320582924,1.843915954984639,0.089,-1,299,0.099,-1,0.8,0.006,0,0
MOT17-04-FRCNN,307,151,1,0.4136073589324951,0.07450268774805946,1.868333456352305,0.117,-1,306,0.108,-1,2.9,0.02,0,0
MOT17-04-FRCNN,308,151,1,0.2831447124481201,0.023992532424510493,1.8944222634286112,0.107,-1,307,0.114,-1,2.2,0.015,0,0
MOT17-04-FRCNN,313,151,3,0.5150032043457031,0.05142248500527635,1.9118553433598937,0.103,-1,310,0.108,-1,0.4,0.002,0,0
MOT17-04-FRCNN,316,151,1,0.2158794403076172,0.04274335586490252,1.9638914184695972,0.098,-1,315,0.093,-1,1.2,0.008,0,0
MOT17-04-FRCNN,324,151,1,0.49749183654785156,0.030147115657629397,1.4509297879121306,0.104,-1,323,0.111,-1,2.7,0.019,0,0
MOT17-04-FRCNN,327,151,1,0.13956284523010254,0.03462879129310781,1.4715827141485265,0.109,-1,326,0.109,-1,1.3,0.009,0,0
MOT17-04-FRCNN,333,129,3,0.38982295989990234,0.058007020865845194,0.9954656833149389,0.712,96,330,0.664,96,1.5,0.008,1,1
MOT17-04-FRCNN,334,162,1,0.519498348236084,0.13061219338453223,0.7505303113052466,0.0,-1,333,0.0,-1,3.0,0.025,0,0
MOT17-04-FRCNN,335,162,1,0.5456042289733887,0.11951093555155812,0.7714633239958765,0.0,-1,334,0.0,-1,2.8,0.023,0,0
MOT17-04-FRCNN,345,162,1,0.5650568008422852,0.04082915340364024,1.3123153867511144,0.0,-1,344,0.0,-1,2.9,0.023,0,0
MOT17-04-FRCNN,347,160,2,0.11944413185119629,0.13530929379497258,1.6645427930061405,0.619,94,345,0.652,94,6.9,0.042,1,1
MOT17-04-FRCNN,352,151,1,0.5484960079193115,0.07521697664451488,1.3334685126647294,0.109,-1,351,0.098,-1,4.1,0.028,0,0
MOT17-04-FRCNN,371,151,2,0.24278759956359863,0.037847020086776206,1.6079572521426437,0.109,-1,369,0.104,-1,0.6,0.004,0,0
MOT17-04-FRCNN,376,162,5,0.13914227485656738,0.09337508229799474,4.3835806444593395,0.148,-1,371,0.111,-1,2.4,0.019,0,0
MOT17-04-FRCNN,377,170,3,0.15607774257659912,0.11169127832006043,3.161304904951537,0.026,-1,374,0.031,-1,4.8,0.021,0,0
MOT17-04-FRCNN,379,151,1,0.5135297775268555,0.059059459067067444,1.1419097176793234,0.11,-1,378,0.116,-1,3.6,0.025,0,0
MOT17-04-FRCNN,382,151,1,0.5181012153625488,0.02842428408890918,1.1482863347289425,0.123,-1,381,0.123,-1,0.4,0.003,0,0
MOT17-04-FRCNN,386,162,10,0.1273500919342041,0.0880842856249302,4.544770601680076,0.233,-1,376,0.151,-1,1.5,0.012,0,0
MOT17-04-FRCNN,387,151,2,0.4067056179046631,0.06314693490210344,1.4235679362417004,0.115,-1,385,0.12,-1,1.4,0.01,0,0
MOT17-04-FRCNN,388,162,2,0.141082763671875,0.12638052233298636,3.2698927505567257,0.275,-1,386,0.233,-1,5.2,0.042,0,0
MOT17-04-FRCNN,388,176,1,0.4663705825805664,0.06466899281648564,1.617133690176833,0.138,-1,387,0.114,-1,4.1,0.03,0,0
MOT17-04-FRCNN,392,162,4,0.15348941087722778,0.12630767171779755,4.525723471535338,0.299,-1,388,0.271,-1,2.6,0.02,0,0
MOT17-04-FRCNN,392,157,2,0.19362008571624756,0.1034646907537442,2.0831666655357126,0.384,-1,390,0.377,-1,1.2,0.009,0,0
MOT17-04-FRCNN,392,151,2,0.12322604656219482,0.09633498637691396,1.2626807209363737,0.11,-1,390,0.117,-1,5.6,0.039,0,0
MOT17-04-FRCNN,394,157,2,0.1144111156463623,0.09147149318280912,2.222347987131669,0.397,-1,392,0.384,-1,1.8,0.014,0,0
MOT17-04-FRCNN,395,151,2,0.15583133697509766,0.12656024477395522,1.3234766067284782,0.094,-1,393,0.112,-1,4.3,0.029,0,0
MOT17-04-FRCNN,405,162,2,0.20089209079742432,0.07657246333427259,3.0720683397896895,0.427,-1,403,0.452,-1,1.0,0.007,0,0
MOT17-04-FRCNN,408,150,1,0.5153274536132812,0.01584962125817846,0.25638144732180007,0.89,140,407,0.907,140,0.7,0.007,1,1
MOT17-04-FRCNN,432,161,8,0.17116719484329224,0.1499480359379718,2.9331153417641014,0.63,93,424,0.774,93,5.4,0.03,1,1
MOT17-04-FRCNN,432,151,2,0.3942495584487915,0.09230455635008095,1.1127576248159061,0.099,-1,430,0.11,-1,1.7,0.013,0,0
MOT17-04-FRCNN,434,95,3,0.20635712146759033,0.09772765867964917,1.3009374140480705,0.376,-1,431,0.367,-1,5.0,0.03,0,0
MOT17-04-FRCNN,444,150,2,0.10729324817657471,0.04260454159754146,0.3539942293167048,0.879,140,442,0.867,140,0.6,0.006,1,1
MOT17-04-FRCNN,450,150,5,0.10320737957954407,0.041822800348418565,0.3733035244200945,0.887,140,445,0.88,140,0.1,0.001,1,1
MOT17-04-FRCNN,452,150,2,0.1500324010848999,0.047694116599292014,0.36333326918074726,0.909,140,450,0.886,140,1.0,0.01,1,1
MOT17-04-FRCNN,455,150,2,0.22183537483215332,0.03887407900255324,0.358720296502461,0.877,140,453,0.898,140,0.8,0.008,1,1
MOT17-04-FRCNN,455,172,1,0.5057823657989502,0.017455742018340215,0.47568540813811866,0.0,-1,454,0.0,-1,0.1,0.001,0,0
MOT17-04-FRCNN,462,129,2,0.26657867431640625,0.06209596547556495,2.988655671263809,0.629,96,460,0.617,96,0.7,0.004,1,1
MOT17-04-FRCNN,466,172,1,0.3487553596496582,0.030081217204985466,0.4583803617533713,0.0,-1,465,0.0,-1,0.8,0.006,0,0
MOT17-04-FRCNN,467,172,1,0.4350900650024414,0.03343370537011159,0.4571410673771167,0.0,-1,466,0.0,-1,0.9,0.007,0,0
MOT17-04-FRCNN,468,150,4,0.10293817520141602,0.016271768894504657,0.3889884790479891,0.916,140,464,0.891,140,0.0,0.0,1,1
MOT17-04-FRCNN,477,150,1,0.3876078128814697,0.051391546353734774,0.33364358536388977,0.849,140,476,0.889,140,0.8,0.008,1,1
MOT17-04-FRCNN,492,150,2,0.17821240425109863,0.02304122688651722,0.3186807573190909,0.884,140,490,0.908,140,0.6,0.006,1,1
MOT17-04-FRCNN,513,150,1,0.5716757774353027,0.008330249610314033,0.2910724272258985,0.0,-1,512,0.0,-1,0.1,0.001,0,0
MOT17-04-FRCNN,515,150,1,0.5442314147949219,0.03134611801448761,0.2932192359434765,0.0,-1,514,0.0,-1,0.7,0.007,0,0
MOT17-04-FRCNN,516,150,1,0.25973188877105713,0.04726750754701892,0.2892430401809948,0.0,-1,515,0.0,-1,1.0,0.01,0,0
MOT17-04-FRCNN,517,150,1,0.3486853837966919,0.03420291413563059,0.29463125676234914,0.0,-1,516,0.0,-1,0.1,0.001,0,0
MOT17-04-FRCNN,518,150,1,0.3911252021789551,0.0450928801514584,0.3033447290391435,0.0,-1,517,0.0,-1,0.6,0.006,0,0
MOT17-04-FRCNN,519,150,1,0.3624991178512573,0.03465439939865256,0.3178152305540397,0.0,-1,518,0.0,-1,0.1,0.001,0,0
MOT17-05-FRCNN,36,191,1,0.4854702949523926,0.128248927642865,1.8870966179665736,0.0,-1,35,0.0,-1,8.3,0.13,0,0
MOT17-05-FRCNN,174,207,2,0.30358171463012695,0.10297950586575721,10.243700154810053,0.343,-1,172,0.289,-1,28.2,0.036,0,0
MOT17-05-FRCNN,238,212,1,0.3644510507583618,0.0928979551670398,3.7868211972650707,0.54,151,237,0.574,151,5.6,0.036,1,1
MOT17-05-FRCNN,239,212,1,0.4818742275238037,0.1471787392929388,4.934933617182284,0.557,151,238,0.578,151,5.1,0.032,1,1
MOT17-05-FRCNN,240,212,1,0.22353744506835938,0.10827809375082853,4.901599503106804,0.433,-1,239,0.561,151,3.4,0.022,0,0
MOT17-05-FRCNN,321,213,4,0.4202878475189209,0.13574713956793294,6.5849034510178495,0.536,31,317,0.341,-1,3.2,0.02,0,1
MOT17-05-FRCNN,322,213,1,0.31226563453674316,0.13832371708558167,3.155113755581987,0.375,-1,321,0.544,31,6.4,0.041,0,0
MOT17-05-FRCNN,331,230,2,0.16609203815460205,0.08233365382454749,3.9863478853454577,0.103,-1,329,0.096,-1,4.5,0.071,0,0
MOT17-05-FRCNN,338,231,1,0.4452667236328125,0.10754039286689021,2.8038117974228585,0.351,-1,337,0.374,-1,2.4,0.026,0,0
MOT17-05-FRCNN,349,230,1,0.5123205184936523,0.12664433902997196,3.566198153554325,0.187,-1,348,0.174,-1,6.8,0.083,0,0
MOT17-05-FRCNN,355,234,1,0.29973316192626953,0.11347265226354919,2.9127708339980023,0.0,-1,354,0.0,-1,2.4,0.018,0,0
MOT17-05-FRCNN,359,234,3,0.32924413681030273,0.101481706835713,5.630952122254557,0.0,-1,356,0.0,-1,0.2,0.002,0,0
MOT17-05-FRCNN,362,234,1,0.4483680725097656,0.1279326861681478,2.9652392297613632,0.0,-1,361,0.0,-1,2.2,0.017,0,0
MOT17-09-FRCNN,18,267,1,0.4585385322570801,0.1447037456409498,0.7261600553271036,0.225,-1,17,0.265,-1,3.8,0.018,0,0
MOT17-09-FRCNN,25,267,1,0.5171163082122803,0.10891181263487038,1.172209603874126,0.205,-1,24,0.214,-1,2.1,0.01,0,0
MOT17-09-FRCNN,27,267,1,0.526195764541626,0.11779961155331442,1.1725302094855214,0.177,-1,26,0.188,-1,2.4,0.012,0,0
MOT17-09-FRCNN,28,267,1,0.36850976943969727,0.06925110519590971,1.1416541027102747,0.181,-1,27,0.18,-1,1.4,0.007,0,0
MOT17-09-FRCNN,32,267,1,0.18752074241638184,0.09551051459720461,1.0820841202131055,0.135,-1,31,0.138,-1,0.3,0.002,0,0
MOT17-09-FRCNN,33,267,1,0.2326812744140625,0.04624555607947234,1.075150174627804,0.134,-1,32,0.135,-1,0.6,0.004,0,0
MOT17-09-FRCNN,34,267,1,0.27563202381134033,0.051594757448675255,1.08558171998688,0.14,-1,33,0.132,-1,0.5,0.003,0,0
MOT17-09-FRCNN,35,267,1,0.2561459541320801,0.11322975872109087,1.0872547451416663,0.149,-1,34,0.136,-1,2.3,0.013,0,0
MOT17-09-FRCNN,38,267,3,0.1261453628540039,0.08524918967808082,2.1447008889163928,0.148,-1,35,0.143,-1,1.6,0.009,0,0
MOT17-09-FRCNN,46,267,8,0.28152012825012207,0.14259627421118348,6.533277890707335,0.234,-1,38,0.144,-1,0.5,0.003,0,0
MOT17-09-FRCNN,48,267,1,0.30625200271606445,0.053999755036246544,1.2816939216438303,0.255,-1,47,0.243,-1,0.1,0.001,0,0
MOT17-09-FRCNN,63,267,1,0.3638259172439575,0.024401643401780304,1.008433026582868,0.933,16,62,0.871,16,0.4,0.002,1,1
MOT17-09-FRCNN,70,267,1,0.5761446952819824,0.05664859641104347,0.986710549267382,0.874,16,69,0.902,16,1.5,0.008,1,1
MOT17-09-FRCNN,86,268,5,0.575624942779541,0.08119594697583621,9.992181312827656,0.273,-1,81,0.284,-1,3.9,0.012,0,0
MOT17-09-FRCNN,132,268,1,0.25811004638671875,0.04620296808325175,1.863208800252375,0.09,-1,131,0.092,-1,5.7,0.021,0,0
MOT17-09-FRCNN,192,268,1,0.14382719993591309,0.10760373201581586,2.007721178385532,0.0,-1,191,0.0,-1,4.8,0.02,0,0
MOT17-09-FRCNN,204,262,1,0.47885942459106445,0.12649291760372994,1.3378192563911038,0.0,-1,203,0.0,-1,4.3,0.02,0,0
MOT17-09-FRCNN,243,261,1,0.5112032890319824,0.057396662748126936,1.0259037474163506,0.0,-1,242,0.0,-1,2.4,0.012,0,0
MOT17-10-FRCNN,48,299,1,0.5530929565429688,0.14463186186836874,2.0998235041611166,0.0,-1,47,0.0,-1,1.3,0.016,0,0
MOT17-10-FRCNN,73,299,1,0.3091280460357666,0.10482434026767573,2.149867505562004,0.0,-1,72,0.0,-1,2.2,0.03,0,0
MOT17-10-FRCNN,73,295,1,0.5964510440826416,0.11728425511279639,1.8602231900048671,0.0,-1,72,0.0,-1,1.8,0.024,0,0
MOT17-10-FRCNN,90,299,1,0.5595624446868896,0.09201081231586039,2.0607255252125496,0.0,-1,89,0.0,-1,2.1,0.029,0,0
MOT17-10-FRCNN,93,301,25,0.47534704208374023,0.14369488467763603,5.624932368565838,0.0,-1,68,0.0,-1,6.8,0.082,0,0
MOT17-10-FRCNN,94,293,2,0.1469435691833496,0.05722062315257226,3.519598669100904,0.0,-1,92,0.0,-1,3.4,0.017,0,0
MOT17-10-FRCNN,100,305,1,0.5915822982788086,0.08573155401243815,1.3794223072772198,0.0,-1,99,0.0,-1,1.3,0.025,0,0
MOT17-10-FRCNN,101,295,1,0.5825958251953125,0.11059505303320882,1.7075361845234793,0.058,-1,100,0.043,-1,3.1,0.046,0,0
MOT17-10-FRCNN,106,305,1,0.5041887760162354,0.12227192589144686,1.1673635101729558,0.0,-1,105,0.0,-1,2.3,0.049,0,0
